"Year","County","total","elderly","elder_proportion"
2011,"Alameda",1494876,164461,0.110016482972501
2011,"Alpine",1167,133,0.113967437874893
2011,"Amador",38244,7652,0.200083673255936
2011,"Butte",219309,33446,0.152506281091975
2011,"Calaveras",45794,9501,0.207472594663056
2011,"Colusa",21297,2535,0.119030849415411
2011,"Contra Costa",1037817,127537,0.122889680936042
2011,"Del Norte",28561,4010,0.140401246454956
2011,"El Dorado",179878,25543,0.142001801220827
2011,"Fresno",920623,91866,0.0997867748253085
2011,"Glenn",28027,3645,0.130053163021372
2011,"Humboldt",133585,17445,0.130591009469626
2011,"Imperial",171343,17876,0.104328744098096
2011,"Inyo",18457,3470,0.188004551118817
2011,"Kern",829254,74161,0.089430982545758
2011,"Kings",152335,11868,0.0779072439032396
2011,"Lake",64392,11171,0.173484283761958
2011,"Lassen",35001,3359,0.095968686608954
2011,"Los Angeles",9787747,1048994,0.10717420464587
2011,"Madera",149611,16834,0.112518464551403
2011,"Marin",250666,40982,0.163492456096958
2011,"Mariposa",18290,3747,0.20486604702023
2011,"Mendocino",87525,13456,0.15373893173379
2011,"Merced",253606,23419,0.0923440297153853
2011,"Modoc",9587,1854,0.193386878064045
2011,"Mono",14016,1262,0.0900399543378995
2011,"Monterey",411385,43504,0.105750088116971
2011,"Napa",135377,20336,0.150217540645752
2011,"Nevada",98392,18770,0.190767542076592
2011,"Orange",2989948,342121,0.114423729108332
2011,"Placer",343554,51970,0.151271706922347
2011,"Plumas",20192,4072,0.201664025356577
2011,"Riverside",2154844,252556,0.117203843990563
2011,"Sacramento",1408480,156287,0.11096146200159
2011,"San Benito",54873,5328,0.0970969329178284
2011,"San Bernardino",2023452,176983,0.0874658751480144
2011,"San Diego",3060849,345708,0.112945133850118
2011,"San Francisco",797983,109277,0.136941513791647
2011,"San Joaquin",680277,69823,0.102639072025072
2011,"San Luis Obispo",267871,40244,0.150236494432021
2011,"San Mateo",711622,94905,0.133364342305325
2011,"Santa Barbara",419793,53786,0.128125052109016
2011,"Santa Clara",1762754,192422,0.109159871428458
2011,"Santa Cruz",259402,28490,0.109829530998219
2011,"Shasta",177231,29335,0.165518447675632
2011,"Sierra",3277,691,0.210863594751297
2011,"Siskiyou",44687,8704,0.194777004497952
2011,"Solano",411620,45676,0.110966425343764
2011,"Sonoma",478551,65602,0.137084657643595
2011,"Stanislaus",512469,53891,0.105159531600936
2011,"Sutter",94192,11772,0.124978766774248
2011,"Tehama",62985,10007,0.158879098197984
2011,"Trinity",13711,2606,0.190066370067829
2011,"Tulare",436234,41008,0.0940045938647606
2011,"Tuolumne",55736,11138,0.199834936127458
2011,"Ventura",815745,94184,0.115457649142808
2011,"Yolo",198889,19336,0.0972200574189623
2011,"Yuba",71817,7074,0.098500355069134
2012,"Alameda",1515136,170137,0.112291569865675
2012,"Alpine",1197,147,0.12280701754386
2012,"Amador",37764,7862,0.208187691981782
2012,"Butte",220101,34088,0.154874353137878
2012,"Calaveras",45507,9816,0.215703078647241
2012,"Colusa",21329,2548,0.119461765671152
2012,"Contra Costa",1052047,132578,0.126019084698687
2012,"Del Norte",28496,4068,0.142756878158338
2012,"El Dorado",180441,26781,0.148419705055946
2012,"Fresno",930517,94379,0.101426411339073
2012,"Glenn",28078,3706,0.1319894579386
2012,"Humboldt",134317,17870,0.133043471786892
2012,"Imperial",173487,18363,0.105846547579934
2012,"Inyo",18474,3522,0.190646313738227
2012,"Kern",839153,76098,0.0906842971424758
2012,"Kings",151982,12144,0.079904199181482
2012,"Lake",64360,11377,0.176771286513362
2012,"Lassen",34628,3491,0.10081436987409
2012,"Los Angeles",9840024,1078555,0.109608980628503
2012,"Madera",150615,17479,0.116050858148259
2012,"Marin",252759,42774,0.169228395428056
2012,"Mariposa",18193,3865,0.212444346726763
2012,"Mendocino",87577,13990,0.159745138563778
2012,"Merced",256398,24277,0.0946848259346797
2012,"Modoc",9545,1927,0.201885804085909
2012,"Mono",14181,1360,0.0959029687610183
2012,"Monterey",416199,44828,0.107708091561969
2012,"Napa",136644,20864,0.152688738620064
2012,"Nevada",98521,19453,0.197450289785934
2012,"Orange",3021840,354272,0.117237179996294
2012,"Placer",350074,54468,0.155589960979679
2012,"Plumas",19926,4270,0.214292883669577
2012,"Riverside",2192982,261593,0.119286432811578
2012,"Sacramento",1422348,161119,0.113276778959861
2012,"San Benito",55467,5522,0.0995546901761408
2012,"San Bernardino",2041029,183830,0.0900673140851992
2012,"San Diego",3100500,356180,0.114878245444283
2012,"San Francisco",807755,111017,0.137438951167124
2012,"San Joaquin",687036,72156,0.105025064188776
