"county","year","month","All causes (total)","Alzheimer's disease","Malignant neoplasms","Chronic lower respiratory diseases","Diabetes mellitus","Assault (homicide)","Diseases of heart","Essential hypertension and hypertensive renal disease","Accidents (unintentional injuries)","Chronic liver disease and cirrhosis","Nephritis, nephrotic syndrome and nephrosis","Parkinson's disease","Influenza and pneumonia","Cerebrovascular diseases","Intentional self-harm (suicide)"
"Alameda",2011,1,879,34,195,41,39,19,221,0,31,16,0,0,20,50,19
"Alpine",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2011,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2011,1,226,12,44,16,0,0,58,0,13,0,0,0,0,15,0
"Calaveras",2011,1,34,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Colusa",2011,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2011,1,694,38,170,29,19,0,144,14,24,19,0,0,19,47,0
"Del Norte",2011,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2011,1,84,0,23,0,0,0,20,0,0,0,0,0,0,0,0
"Fresno",2011,1,585,30,117,31,26,0,136,19,20,16,0,0,17,38,0
"Glenn",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2011,1,96,0,16,11,0,0,29,0,0,0,0,0,0,0,0
"Imperial",2011,1,69,0,17,0,0,0,14,0,0,0,0,0,0,0,0
"Inyo",2011,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2011,1,461,15,71,40,22,0,124,12,39,0,0,0,0,19,0
"Kings",2011,1,60,0,12,0,0,0,15,0,0,0,0,0,0,0,0
"Lake",2011,1,57,0,11,0,0,0,11,0,0,0,0,0,0,0,0
"Lassen",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2011,1,5596,204,1275,304,214,54,1708,107,184,116,80,59,243,304,58
"Madera",2011,1,72,0,15,0,0,0,14,0,11,0,0,0,0,0,0
"Marin",2011,1,179,13,48,0,0,0,41,0,0,0,0,0,0,0,0
"Mariposa",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2011,1,75,0,16,0,0,0,27,0,0,0,0,0,0,0,0
"Merced",2011,1,99,0,16,0,0,0,28,0,0,0,0,0,0,0,0
"Modoc",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2011,1,201,0,48,14,0,0,45,0,13,0,0,0,0,11,0
"Napa",2011,1,97,0,25,0,0,0,26,0,0,0,0,0,0,0,0
"Nevada",2011,1,90,0,21,0,0,0,22,0,0,0,0,0,0,0,0
"Orange",2011,1,1703,117,365,89,55,0,456,19,63,23,19,14,65,112,32
"Placer",2011,1,294,0,70,25,0,0,57,0,0,0,0,0,14,16,0
"Plumas",2011,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2011,1,1262,43,296,84,45,0,343,27,68,26,22,11,28,68,16
"Sacramento",2011,1,967,33,200,54,28,0,232,12,42,14,0,0,35,42,0
"San Benito",2011,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2011,1,1178,35,259,69,61,0,302,20,47,27,16,0,20,65,15
"San Diego",2011,1,1885,125,411,134,47,0,462,19,97,28,16,18,38,91,28
"San Francisco",2011,1,547,26,138,13,0,13,110,11,41,0,0,0,16,29,0
"San Joaquin",2011,1,390,19,90,29,14,0,85,11,30,13,0,0,11,18,0
"San Luis Obispo",2011,1,210,0,38,14,0,0,65,0,0,0,0,0,0,15,0
"San Mateo",2011,1,411,21,89,18,0,0,121,0,14,0,11,0,19,25,0
"Santa Barbara",2011,1,257,11,54,13,0,0,72,0,11,0,0,0,12,0,0
"Santa Clara",2011,1,932,69,203,46,41,12,220,25,34,19,0,17,20,50,12
"Santa Cruz",2011,1,138,0,22,0,0,0,38,0,0,0,0,0,0,0,0
"Shasta",2011,1,198,0,32,21,0,0,39,0,19,0,0,0,0,0,0
"Sierra",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2011,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2011,1,260,25,61,17,12,0,53,0,16,0,0,0,0,0,0
"Sonoma",2011,1,395,25,97,23,0,0,104,0,14,0,0,0,0,16,0
"Stanislaus",2011,1,377,0,81,28,0,0,118,0,0,0,0,0,0,27,0
"Sutter",2011,1,43,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Tehama",2011,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2011,1,218,0,40,13,0,0,62,0,0,0,0,0,0,0,0
"Tuolumne",2011,1,49,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2011,1,446,20,117,30,13,0,103,0,18,11,0,0,0,20,0
"Yolo",2011,1,80,0,21,0,0,0,13,0,0,0,0,0,0,0,0
"Yuba",2011,1,70,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Alameda",2011,2,731,33,151,39,22,0,158,0,25,0,0,0,17,56,0
"Alpine",2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2011,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2011,2,197,0,42,20,0,0,35,0,14,0,0,0,0,20,0
"Calaveras",2011,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2011,2,632,45,147,44,24,0,139,0,22,12,0,0,17,43,0
"Del Norte",2011,2,34,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"El Dorado",2011,2,83,0,29,0,0,0,16,0,0,0,0,0,0,0,0
"Fresno",2011,2,535,26,91,21,26,0,129,14,27,0,0,0,21,26,0
"Glenn",2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2011,2,80,0,18,0,0,0,16,0,0,0,0,0,0,0,0
"Imperial",2011,2,59,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"Inyo",2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
