name,code,Longitude,Latitude
Arbuckle Basin California,CABS,"122бу 50' 00""","40бу 23' 54"""
Adin - Portable California,CADI,"121бу 17' 54""","41бу 37' 40"""
Alder Springs California,CALD,"122бу 43' 25""","39бу 39' 05"""
Alder Point California,CAPT,"123бу 35' 25""","40бу 11' 12"""
Ash Creek California,CASC,"121бу 58' 46""","41бу 16' 37"""
Ash Valley California,CASH,"120бу 41' 10""","41бу 03' 07"""
Atlas Peak California,CATL,"122бу 15' 53""","38бу 28' 29"""
Backbone California,CBAC,"123бу 08' 32""","40бу 53' 21"""
Bald Mtn Loc California,CBAL,"120бу 41' 50""","38бу 54' 20"""
Burney Basin #1 California,CBB1,"121бу 29' 37""","41бу 10' 01"""
Burney Basin #2 California,CBB2,"121бу 38' 42""","40бу 54' 18"""
Burney Basin #3 California,CBB3,"121бу 24' 54""","40бу 48' 32"""
Burney Basin #4 California,CBB4,"121бу 29' 24""","41бу 00' 25"""
Burney Basin #5 California,CBB5,"121бу 46' 20""","40бу 52' 29"""
Big Bar California,CBBR,"123бу 14' 00""","40бу 44' 00"""
Beckwourth California,CBEC,"120бу 33' 36""","39бу 56' 18"""
Bangor California,CBGR,"121бу 23' 10""","39бу 23' 51"""
Big Hill California,CBIH,"123бу 38' 09""","41бу 05' 51"""
Baker California,CBKR,"122бу 29' 13""","40бу 16' 44"""
Blue Door California,CBLD,"120бу 20' 15""","41бу 03' 17"""
Blacks Mountain California,CBLM,"121бу 10' 44""","40бу 43' 28"""
Blue Ridge (KNF) California,CBLQ,"123бу 11' 15""","41бу 16' 10"""
Blue Ridge California,CBLR,"123бу 08' 32""","40бу 53' 21"""
Ben Bolt California,CBLT,"120бу 56' 01""","38бу 35' 27"""
Blue Mountain Lookout California,CBML,"120бу 21' 53""","38бу 20' 33"""
Blacks Mtn - PSW California,CBMN,"121бу 07' 06""","40бу 43' 53"""
Blue Mountain California,CBMO,"120бу 51' 47""","41бу 49' 47"""
