"county","year","month","death"
"Alameda",2011,1,631
"Alpine",2011,1,0
"Amador",2011,1,22
"Butte",2011,1,175
"Calaveras",2011,1,12
"Colusa",2011,1,0
"Contra Costa",2011,1,536
"Del Norte",2011,1,0
"El Dorado",2011,1,72
"Fresno",2011,1,427
"Glenn",2011,1,0
"Humboldt",2011,1,68
"Imperial",2011,1,47
"Inyo",2011,1,0
"Kern",2011,1,306
"Kings",2011,1,43
"Lake",2011,1,24
"Lassen",2011,1,0
"Los Angeles",2011,1,4088
"Madera",2011,1,28
"Marin",2011,1,141
"Mariposa",2011,1,0
"Mendocino",2011,1,54
"Merced",2011,1,65
"Modoc",2011,1,0
"Mono",2011,1,0
"Monterey",2011,1,150
"Napa",2011,1,82
"Nevada",2011,1,74
"Orange",2011,1,1307
"Placer",2011,1,231
"Plumas",2011,1,0
"Riverside",2011,1,926
"Sacramento",2011,1,669
"San Benito",2011,1,0
"San Bernardino",2011,1,794
"San Diego",2011,1,1417
"San Francisco",2011,1,367
"San Joaquin",2011,1,251
"San Luis Obispo",2011,1,166
"San Mateo",2011,1,352
"Santa Barbara",2011,1,201
"Santa Clara",2011,1,668
"Santa Cruz",2011,1,106
"Shasta",2011,1,127
"Sierra",2011,1,0
"Siskiyou",2011,1,17
"Solano",2011,1,176
"Sonoma",2011,1,319
"Stanislaus",2011,1,277
"Sutter",2011,1,28
"Tehama",2011,1,22
"Trinity",2011,1,0
"Tulare",2011,1,159
"Tuolumne",2011,1,35
"Ventura",2011,1,347
"Yolo",2011,1,53
"Yuba",2011,1,37
"Alameda",2011,2,530
"Alpine",2011,2,0
"Amador",2011,2,17
"Butte",2011,2,157
"Calaveras",2011,2,0
"Colusa",2011,2,0
"Contra Costa",2011,2,514
"Del Norte",2011,2,0
"El Dorado",2011,2,62
"Fresno",2011,2,368
"Glenn",2011,2,0
"Humboldt",2011,2,47
"Imperial",2011,2,36
"Inyo",2011,2,0
"Kern",2011,2,315
"Kings",2011,2,11
"Lake",2011,2,22
"Lassen",2011,2,0
"Los Angeles",2011,2,3657
"Madera",2011,2,40
"Marin",2011,2,122
"Mariposa",2011,2,0
"Mendocino",2011,2,22
"Merced",2011,2,55
"Modoc",2011,2,0
"Mono",2011,2,0
"Monterey",2011,2,153
"Napa",2011,2,63
"Nevada",2011,2,56
"Orange",2011,2,1188
"Placer",2011,2,218
"Plumas",2011,2,0
"Riverside",2011,2,929
"Sacramento",2011,2,626
"San Benito",2011,2,0
"San Bernardino",2011,2,727
"San Diego",2011,2,1350
"San Francisco",2011,2,363
"San Joaquin",2011,2,291
"San Luis Obispo",2011,2,134
"San Mateo",2011,2,300
"Santa Barbara",2011,2,155
"Santa Clara",2011,2,622
"Santa Cruz",2011,2,135
"Shasta",2011,2,126
"Sierra",2011,2,0
"Siskiyou",2011,2,22
"Solano",2011,2,159
"Sonoma",2011,2,239
"Stanislaus",2011,2,228
"Sutter",2011,2,29
"Tehama",2011,2,15
"Trinity",2011,2,0
"Tulare",2011,2,146
"Tuolumne",2011,2,28
"Ventura",2011,2,347
"Yolo",2011,2,55
"Yuba",2011,2,45
"Alameda",2011,3,578
"Alpine",2011,3,0
"Amador",2011,3,11
"Butte",2011,3,170
"Calaveras",2011,3,0
"Colusa",2011,3,0
"Contra Costa",2011,3,535
"Del Norte",2011,3,0
"El Dorado",2011,3,64
"Fresno",2011,3,402
"Glenn",2011,3,0
"Humboldt",2011,3,72
"Imperial",2011,3,70
"Inyo",2011,3,0
"Kern",2011,3,324
"Kings",2011,3,38
"Lake",2011,3,25
"Lassen",2011,3,0
"Los Angeles",2011,3,3945
"Madera",2011,3,51
"Marin",2011,3,152
"Mariposa",2011,3,0
"Mendocino",2011,3,37
"Merced",2011,3,70
"Modoc",2011,3,0
"Mono",2011,3,0
"Monterey",2011,3,154
"Napa",2011,3,95
"Nevada",2011,3,87
"Orange",2011,3,1318
"Placer",2011,3,262
"Plumas",2011,3,0
"Riverside",2011,3,952
"Sacramento",2011,3,720
"San Benito",2011,3,0
"San Bernardino",2011,3,806
"San Diego",2011,3,1375
"San Francisco",2011,3,394
"San Joaquin",2011,3,309
"San Luis Obispo",2011,3,167
"San Mateo",2011,3,319
"Santa Barbara",2011,3,205
"Santa Clara",2011,3,634
"Santa Cruz",2011,3,124
"Shasta",2011,3,161
"Sierra",2011,3,0
"Siskiyou",2011,3,13
"Solano",2011,3,169
"Sonoma",2011,3,271
"Stanislaus",2011,3,227
"Sutter",2011,3,31
"Tehama",2011,3,13
"Trinity",2011,3,0
"Tulare",2011,3,164
"Tuolumne",2011,3,33
"Ventura",2011,3,332
"Yolo",2011,3,60
"Yuba",2011,3,46
"Alameda",2011,4,532
"Alpine",2011,4,0
"Amador",2011,4,27
"Butte",2011,4,149
"Calaveras",2011,4,0
"Colusa",2011,4,0
"Contra Costa",2011,4,429
"Del Norte",2011,4,0
"El Dorado",2011,4,52
"Fresno",2011,4,357
"Glenn",2011,4,0
"Humboldt",2011,4,64
"Imperial",2011,4,48
"Inyo",2011,4,0
"Kern",2011,4,309
